Results,EUR/USD Close,USD/JPY Close,USD/CAD Close,EUR/JPY Close
2018-08-06,1.1555,111.39,1.3003,128.71
2018-08-07,1.1594,111.41,1.3066,129.17
2018-08-08,1.1618,110.97,1.3009,128.92
2018-08-09,1.1536,111.03,1.3038,128.12
2018-08-10,1.1403,110.73,1.3136,126.27
2018-08-13,1.1392,110.67,1.3145,126.08
2018-08-14,1.1341,111.2,1.308,126.12
2018-08-15,1.1351,110.64,1.3132,125.59
2018-08-16,1.1367,110.87,1.3158,126.03
2018-08-17,1.1438,110.58,1.3055,126.48
2018-08-20,1.1465,110.23,1.3054,126.38
2018-08-21,1.1572,110.42,1.3045,127.77
2018-08-22,1.1589,110.56,1.3022,128.14
2018-08-23,1.1537,111.23,1.3085,128.34
2018-08-24,1.1626,111.17,1.3018,129.3
2018-08-27,1.1678,111.1,1.2964,129.73
2018-08-28,1.1696,111.22,1.2931,130.07
2018-08-29,1.1699,111.68,1.2922,130.66
2018-08-30,1.1664,111.07,1.2994,129.57
2018-08-31,1.1603,111,1.3043,128.8
2018-09-03,1.1616,111.03,1.3095,128.98
2018-09-04,1.1576,111.47,1.3176,129.05
2018-09-05,1.1626,111.52,1.318,129.66
2018-09-06,1.1625,110.91,1.3138,128.94
2018-09-07,1.1563,111.09,1.317,128.46
2018-09-10,1.1594,111.19,1.3161,128.92
2018-09-11,1.1586,111.56,1.3129,129.26
2018-09-12,1.1626,111.24,1.2995,129.35
2018-09-13,1.1692,111.85,1.2993,130.78
2018-09-14,1.1631,112.01,1.3032,130.3
2018-09-17,1.1683,111.86,1.3026,130.7
2018-09-18,1.1665,112.35,1.2982,131.05
2018-09-19,1.1673,112.23,1.2923,131.02
2018-09-20,1.1774,112.47,1.2915,132.44
2018-09-21,1.175,112.54,1.2914,132.25
2018-09-24,1.1757,112.71,1.2943,132.51
2018-09-25,1.1768,112.94,1.2947,132.92
2018-09-26,1.1762,112.84,1.3002,132.71
2018-09-27,1.165,113.38,1.304,132.11
2018-09-28,1.1614,113.58,1.2926,131.92
2018-10-01,1.1574,113.97,1.2789,131.9
2018-10-02,1.1542,113.63,1.2819,131.16
2018-10-03,1.1516,114.31,1.2844,131.65
2018-10-04,1.1512,113.85,1.2923,131.06
2018-10-05,1.1524,113.78,1.2939,131.13
2018-10-08,1.1489,112.97,1.2954,129.79
2018-10-09,1.1496,113.04,1.2944,129.96
2018-10-10,1.1524,112.53,1.3035,129.69
2018-10-11,1.1593,111.95,1.305,129.78
2018-10-12,1.1559,111.94,1.3047,129.39
2018-10-15,1.1583,111.88,1.2986,129.6
2018-10-16,1.1578,112.17,1.2939,129.87
2018-10-17,1.1507,112.49,1.3011,129.44
2018-10-18,1.1464,112.16,1.3079,128.59
2018-10-19,1.1511,112.57,1.3114,129.58
2018-10-22,1.1468,112.82,1.3099,129.39
2018-10-23,1.1469,112.46,1.3088,128.97
2018-10-24,1.1387,112.38,1.3023,127.97
2018-10-25,1.1362,112.58,1.3078,127.92
2018-10-26,1.1405,111.77,1.309,127.49
2018-10-29,1.1392,112.38,1.3124,128.03
2018-10-30,1.1343,112.92,1.3132,128.09
2018-10-31,1.1314,113.02,1.3168,127.88
2018-11-01,1.1407,112.72,1.3088,128.58
